name,family,score_sig,filter,top_n,sizing,universe,regime,dual_mom,alpha_full,alpha_is,alpha_oos,cagr_full,cagr_oos,sharpe_full,sortino,max_dd,calmar,hit_rate,ybs,turnover,final_score
F4_tech_d_w1_none_t2_equal,4,w1,none,2,equal,tech_d,False,False,0.05210706219003547,0.013549924998358387,0.12450235680710442,0.15944939604620556,0.2735854365042534,0.8585823975429736,1.1714906268153662,-0.2724292316228326,0.5852873977450294,0.5489744663038928,9,4.526315789473684,0.1580335231285389
F4_tech_d_w1_spy_sma200_t2_equal,4,w1,spy_sma200,2,equal,tech_d,False,False,0.05210706219003547,0.013549924998358387,0.12450235680710442,0.15944939604620556,0.2735854365042534,0.8585823975429736,1.1714906268153662,-0.2724292316228326,0.5852873977450294,0.5489744663038928,9,4.526315789473684,0.1580335231285389
F4_tech_c_avg3_6_12_none_t2_equal,4,avg3_6_12,none,2,equal,tech_c,False,False,0.03906632261107723,-0.004087095887436165,0.12625924378195696,0.14640865646724732,0.2753423234791059,0.7943188302778801,1.0427901045737724,-0.38721212508665026,0.3781096897068603,0.5539974884889075,10,4.473684210526316,0.1515994951417526
F4_tech_c_avg3_6_12_spy_sma200_t2_equal,4,avg3_6_12,spy_sma200,2,equal,tech_c,False,False,0.03906632261107723,-0.004087095887436165,0.12625924378195696,0.14640865646724732,0.2753423234791059,0.7943188302778801,1.0427901045737724,-0.38721212508665026,0.3781096897068603,0.5539974884889075,10,4.473684210526316,0.1515994951417526
F4_tech_c_avg3_6_12_sma200_t2_equal,4,avg3_6_12,sma200,2,equal,tech_c,False,False,0.05468890994411901,0.022026151045496656,0.1356183475928603,0.1620312438002891,0.28470142729000925,0.8599538637158787,1.1584001919320348,-0.2877656838978093,0.5630665950351094,0.5550439514441189,9,4.842105263157895,0.14681730570762433
F4_tech_d_avg3_6_12_none_t2_equal,4,avg3_6_12,none,2,equal,tech_d,False,False,0.059215626068107374,0.035684037984131445,0.0997187530834498,0.16655795992427747,0.24880183278059875,0.8819057366230328,1.2059235468830982,-0.2658781981531467,0.6264445941082372,0.5487651737128506,10,4.894736842105263,0.14378247368783809
F4_tech_d_avg3_6_12_spy_sma200_t2_equal,4,avg3_6_12,spy_sma200,2,equal,tech_d,False,False,0.059215626068107374,0.035684037984131445,0.0997187530834498,0.16655795992427747,0.24880183278059875,0.8819057366230328,1.2059235468830982,-0.2658781981531467,0.6264445941082372,0.5487651737128506,10,4.894736842105263,0.14378247368783809
F4_tech_a_w1_none_t2_equal,4,w1,none,2,equal,tech_a,False,False,0.04802444409424944,0.020155237664156722,0.07103869005902874,0.15536677795041953,0.2201217697561777,0.8605356038429767,1.1839251752862752,-0.297761356910037,0.5217828786203466,0.5506488070322311,11,4.7368421052631575,0.1406543568108023
F4_tech_a_w1_spy_sma200_t2_equal,4,w1,spy_sma200,2,equal,tech_a,False,False,0.04802444409424944,0.020155237664156722,0.07103869005902874,0.15536677795041953,0.2201217697561777,0.8605356038429767,1.1839251752862752,-0.297761356910037,0.5217828786203466,0.5506488070322311,11,4.7368421052631575,0.1406543568108023
F4_tech_c_mom12_none_t2_equal,4,mom12,none,2,equal,tech_c,False,False,0.04427870975084036,-0.0010818991657597365,0.13549541616832683,0.15162104360701045,0.2845784958654758,0.8089765348567991,1.059808857707325,-0.3962781631493072,0.38261266379667663,0.5510673922143157,8,4.631578947368421,0.14023290476882772
