name,family,score_sig,filter,top_n,sizing,universe,regime,dual_mom,alpha_full,alpha_is,alpha_oos,cagr_full,cagr_oos,sharpe_full,sortino,max_dd,calmar,hit_rate,ybs,turnover,final_score
F1_full_mom1_none_t1_top1,1,mom1,none,1,top1,full,False,False,0.028741990047976174,0.051366067728805476,0.07291238038773407,0.13608432390414626,0.22199546008488302,0.6216899970526849,0.8168447087498883,-0.3933293339502597,0.3459806125758102,0.5326496442025952,10,21.263157894736842,-0.7339023060960603
F1_full_mom1_none_t2_equal,1,mom1,none,2,equal,full,False,False,0.0720905299986554,0.10572596289891156,0.06104448359598491,0.1794328638548255,0.21012756329313387,0.9133982896451792,1.1795768945030234,-0.33934376328210847,0.5287642894018848,0.5447886144830473,13,20.263157894736842,-0.6105775415802286
F1_full_mom1_none_t2_rank_7030,1,mom1,none,2,rank_7030,full,False,False,0.0557943479883114,0.08512339437868244,0.0666507149297606,0.1631366818444815,0.21573379462690956,0.7948180978767687,1.0317275522912654,-0.35560431303395934,0.4587590078776754,0.5380912515696944,11,20.66315789473684,-0.6637274895389689
F1_full_mom1_none_t2_rank_6040,1,mom1,none,2,rank_6040,full,False,False,0.06414217120911192,0.09562268419047504,0.0640544699279435,0.171484505065282,0.21313754962509246,0.8553767504492149,1.107025972133512,-0.3472440044246027,0.49384439437460914,0.540812055253244,11,20.463157894736838,-0.6420834358653266
F1_full_mom1_none_t2_adaptive,1,mom1,none,2,adaptive,full,False,False,0.04390321925431784,0.05404692701699543,0.08420779127317579,0.15124555311048793,0.23329087097032475,0.7105386096261125,0.9150396202595179,-0.38953375611374286,0.3882732901492743,0.5378819589786522,12,21.052631578947366,-0.6900692676829295
F1_full_mom1_none_t3_equal,1,mom1,none,3,equal,full,False,False,0.02011236322753307,0.0350783548456981,0.022536938991495337,0.12745469708370316,0.1716200186886443,0.7373460805360351,0.9291042718671798,-0.36611472175485593,0.3481277575312708,0.546044370029301,12,18.94736842105263,-0.6088025872469223
F1_full_mom1_none_t3_rank_603010,1,mom1,none,3,rank_603010,full,False,False,0.04481075525635414,0.06960037127832708,0.05436265148302222,0.15215308911252423,0.20344573118017117,0.7839968800766488,1.0099222264488288,-0.34889995844694255,0.436093743862289,0.540812055253244,11,20.16842105263158,-0.648693686230528
F1_full_mom1_none_t3_rank_503020,1,mom1,none,3,rank_503020,full,False,False,0.03355214258534667,0.05382817352567715,0.04166788347597228,0.14089447644151676,0.19075096317312124,0.7644463267280207,0.9766971313548082,-0.3427231320048326,0.4111029086870333,0.5435328589367936,12,19.673684210526314,-0.6299381447033403
F1_full_mom1_sma200_t1_top1,1,mom1,sma200,1,top1,full,False,False,0.044162080502268664,0.06587910348234893,0.09223165481444551,0.15150441435843875,0.24131473451159446,0.7201566597289107,0.9589217640360431,-0.37744270796790425,0.4013971158010076,0.5372540812055253,11,20.736842105263158,-0.6755895408164749
F1_full_mom1_sma200_t2_equal,1,mom1,sma200,2,equal,full,False,False,0.047404242023040055,0.044702925936741744,0.10314338427502046,0.15474657587921015,0.2522264639721694,0.8393360236952927,1.0710165753951928,-0.3771971491665078,0.41025383203757904,0.5464629552113855,10,19.157894736842106,-0.5794580422487208
