m_date,m_close_dividend_and_split_adjusted,m_volume,c_log_returns_dividend_and_split_adjusted,c_annualized_volatility_252d_log_returns_dividend_and_split_adjusted,c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted,c_simple_moving_average_252d_close_dividend_and_split_adjusted,c_simple_moving_average_63d_close_dividend_and_split_adjusted,c_momentum_12_1,c_momentum_6_1,c_absolute_momentum,c_trend_score
2006-01-03,87.22505187988281,73256700,,,,,,,,,
2006-01-04,87.63809967041016,51899600,0.0047242492781743904,,,,,,,,
2006-01-05,87.69319915771484,47307500,0.000628518575825579,,,,,,,,
2006-01-06,88.42292785644531,62885900,0.008286951197331274,,,,,,,,
2006-01-09,88.65013122558594,43527400,0.0025662118789239476,,,,,,,,
2006-01-10,88.73957824707031,44960800,0.0010084804730912471,,,,,,,,
2006-01-11,89.02185821533203,49598900,0.0031759442447160486,,,,,,,,
2006-01-12,88.67076873779297,40509200,-0.003951654499469065,,,,,,,,
2006-01-13,88.58816528320312,44856700,-0.000932008996053786,,,,,,,,
2006-01-17,88.34722900390625,52066600,-0.0027234395830047367,,,,,,,,
2006-01-18,87.99610137939453,75067600,-0.003982323434516882,,,,,,,,
2006-01-19,88.33344268798828,81530400,0.0038262643046309756,,,,,,,,
2006-01-20,86.7225112915039,114957800,-0.0184052794027881,,,,,,,,
2006-01-23,87.03226470947266,67017400,0.003565412741269242,,,,,,,,
2006-01-24,87.12178802490234,53008800,0.0010280934828610345,,,,,,,,
2006-01-25,87.19751739501953,87747700,0.0008688581531330446,,,,,,,,
2006-01-26,87.67943572998047,71294000,0.005511527348595701,,,,,,,,
2006-01-27,88.49176788330078,65771200,0.009222141801985807,,,,,,,,
2006-01-30,88.42292785644531,33709600,-0.0007782285133744632,,,,,,,,
2006-01-31,87.77581024169922,72937000,-0.007345348000609114,,,,,,,,
2006-02-01,88.38851165771484,63561000,0.006956049669463946,,,,,,,,
2006-02-02,87.36274719238281,83626900,-0.011673044273700464,,,,,,,,
2006-02-03,86.92900848388672,86040400,-0.0049771671895900505,,,,,,,,
2006-02-06,87.15620422363281,45511900,0.0026101684939523425,,,,,,,,
2006-02-07,86.38514709472656,71208100,-0.008886207199592338,,,,,,,,
2006-02-08,87.16999053955078,59422200,0.009044374088572298,,,,,,,,
2006-02-09,87.02542114257812,62023300,-0.0016598534802805976,,,,,,,,
2006-02-10,87.18376159667969,64508700,0.0018178203377621624,,,,,,,,
2006-02-13,87.02542114257812,52308700,-0.0018178203377622252,,,,,,,,
2006-02-14,87.94792938232422,90964400,0.010544654768863192,,,,,,,,
2006-02-15,88.25770568847656,85471300,0.0035160808015055763,,,,,,,,
2006-02-16,88.91864776611328,61017900,0.00746087308685705,,,,,,,,
2006-02-17,88.67768859863281,40342600,-0.0027135617802664415,,,,,,,,
2006-02-21,88.45736694335938,46456300,-0.0024876134000225993,,,,,,,,
2006-02-22,88.99433135986328,42326700,0.00605196862646834,,,,,,,,
2006-02-23,88.86354064941406,43423200,-0.0014707331482975304,,,,,,,,
2006-02-24,89.09068298339844,36777400,0.0025528189520027302,,,,,,,,
2006-02-27,89.12516021728516,35858600,0.0003869154806625756,,,,,,,,
2006-02-28,88.27835845947266,74394800,-0.009546689891250392,,,,,,,,
2006-03-01,89.06317901611328,48641600,0.008851007963484545,,,,,,,,
2006-03-02,89.05632781982422,60642300,-7.692808512829107e-05,,,,,,,,
2006-03-03,88.64322662353516,73402500,-0.004649442614092161,,,,,,,,
2006-03-06,88.2370376586914,57478400,-0.004592820804564099,,,,,,,,
2006-03-07,88.09938049316406,61780800,-0.001561301912941048,,,,,,,,
2006-03-08,88.28526306152344,66692400,0.0021076963779469784,,,,,,,,
2006-03-09,87.69319915771484,56313600,-0.0067288477267754285,,,,,,,,
2006-03-10,88.52619934082031,60490800,0.009454196243814538,,,,,,,,
2006-03-13,88.6914291381836,45479100,0.001864711165122263,,,,,,,,
2006-03-14,89.6208267211914,69877300,0.010424476937506992,,,,,,,,
2006-03-15,90.02011108398438,53398900,0.004445367800931098,,,,,,,,
2006-03-16,90.20598602294922,65526400,0.0020626869010840665,,,,,,,,
2006-03-17,90.28131103515625,47286800,0.0008346849646269361,,,,,,,,
2006-03-20,90.13618469238281,45538500,-0.001608783820985495,,,,,,,,
2006-03-21,89.56940460205078,87102700,-0.006307894728066103,,,,,,,,
2006-03-22,90.11542510986328,51605700,0.006077554675801475,,,,,,,,
2006-03-23,89.92879486083984,46704200,-0.0020731608701292474,,,,,,,,
2006-03-24,89.99797821044922,43209200,0.0007690167709668875,,,,,,,,
2006-03-27,89.86664581298828,32523000,-0.001460347430898208,,,,,,,,
2006-03-28,89.31369018554688,82079900,-0.0061720766371023495,,,,,,,,
2006-03-29,89.87350463867188,61505700,0.006248395986671036,,,,,,,,
2006-03-30,89.71455383300781,70571700,-0.0017701716753651575,,,,,,,,
2006-03-31,89.73528289794922,62925600,0.00023102907655120762,,,,,,,,
2006-04-03,89.66619110107422,61624700,-0.0007702478552799658,,,,88.4976084875682,,,,
2006-04-04,90.23988342285156,54809300,0.0063777086780435685,,0.08996985972805993,,88.54546295650421,,,,
2006-04-05,90.55086517333984,50607200,0.0034402430391570187,,0.08976352070736726,,88.59169732956659,,,,
2006-04-06,90.45413970947266,57906200,-0.0010687602051319357,,0.0898192706395075,,88.6355217827691,,,,
2006-04-07,89.53483581542969,80180900,-0.010215202186564703,,0.09090890959587593,,88.65317111545139,,,,
2006-04-10,89.67310333251953,41496500,0.0015430961952188095,,0.09082358502501298,,88.6694087679424,,,,
2006-04-11,88.91280364990234,72799400,-0.008514717526842611,,0.09245386073488328,,88.67215837751117,,,,
2006-04-12,89.07869720458984,43033700,0.0018640620695631123,,0.09230959480224928,,88.67306058368986,,,,
2006-04-13,88.96119689941406,51051800,-0.001319932510928598,,0.09200005027446508,,88.67767055450923,,,,
