name,family,score_sig,filter,top_n,sizing,universe,regime,dual_mom,alpha_full,alpha_is,alpha_oos,cagr_full,cagr_oos,sharpe_full,sortino,max_dd,calmar,hit_rate,ybs,turnover,final_score
F1_alpha_mom3_dual_sma200_t1_top1,1,mom3,dual_sma200,1,top1,alpha,False,False,0.10501796972991895,0.08325200592088522,0.21660857633502006,0.21236030358608904,0.365691656032169,0.925642148912259,1.237650160163837,-0.33622325703307887,0.6316050396394687,0.54227710339054,10,13.473684210526315,-0.2252165484496349
F1_sector_mom1_dual_sma200_t2_equal,1,mom1,dual_sma200,2,equal,sector,False,False,0.10462475021539808,0.13399157510330406,0.0965575569043815,0.21196708407156817,0.24564063660153046,1.0628123917592316,1.3534959797383337,-0.3388617972518696,0.62552664770888,0.5548346588530766,14,18.105263157894736,-0.45133992144706264
F1_sector_mom1_none_t2_equal,1,mom1,none,2,equal,sector,False,False,0.10284911246120165,0.12236314492211497,0.11452782433375974,0.21019144631737174,0.2636109040309087,1.0603878665480264,1.3517448345379308,-0.33886179725187004,0.620286641993875,0.5546253662620343,14,18.157894736842103,-0.44965435404897686
F1_sector_mom1_spy_sma200_t2_equal,1,mom1,spy_sma200,2,equal,sector,False,False,0.10284911246120165,0.12236314492211497,0.11452782433375974,0.21019144631737174,0.2636109040309087,1.0603878665480264,1.3517448345379308,-0.33886179725187004,0.620286641993875,0.5546253662620343,14,18.157894736842103,-0.44965435404897686
F1_alpha_mom3_sma200_t1_top1,1,mom3,sma200,1,top1,alpha,False,False,0.10013669267279135,0.06913903150736744,0.25001617100550577,0.20747902652896144,0.39909925070265473,0.9107738689660462,1.2129845694653942,-0.33622325703307887,0.6170870758906154,0.5416492256174131,9,13.157894736842106,-0.20885070707379855
F1_sector_mom1_dual_sma200_t2_rank_6040,1,mom1,dual_sma200,2,rank_6040,sector,False,False,0.09656272695978751,0.12534299238793722,0.09753830155700038,0.2039050608159576,0.24662138125414934,1.0001888236328587,1.2749430138303126,-0.34565388809090647,0.5899110869030088,0.5470908329845123,14,18.63157894736842,-0.48997983204616147
F1_sector_mom3_dual_sma200_t1_top1,1,mom3,dual_sma200,1,top1,sector,False,False,0.09583905454669406,0.06693321503553151,0.22093330295038816,0.20318138840286415,0.3700163826475371,0.8985820481252531,1.2046473331222363,-0.3362232570330793,0.6043049793633822,0.5380912515696944,10,13.473684210526315,-0.23164971165636528
F1_alpha_mom3_sma150_t2_equal,1,mom3,sma150,2,equal,alpha,False,False,0.0941618706210301,0.08466130453858356,0.18627636689610405,0.2015042044772002,0.335359446593253,1.009809668780723,1.2837005954913283,-0.3204533146980917,0.6288098616394189,0.5537881958978652,11,10.31578947368421,-0.06287562820775361
F1_full_avg3_6_12_ema200_t1_top1,1,avg3_6_12,ema200,1,top1,full,False,False,0.0936974582333936,0.07817155569436585,0.16733810676386796,0.20103979208956368,0.3164211864610169,0.8635409975118775,1.1904646479442076,-0.3049095977011097,0.6593422890106421,0.5406027626622018,12,9.263157894736842,-0.03278843505070056
F3_full_avg3_6_12_ema200_t1_top1_dual,3,avg3_6_12,ema200,1,top1,full,False,True,0.0936974582333936,0.07817155569436585,0.16733810676386796,0.20103979208956368,0.3164211864610169,0.8635409975118775,1.1904646479442076,-0.3049095977011097,0.6593422890106421,0.5406027626622018,12,9.157894736842106,-0.027525277155963757
